,continent,location,date,value,country_num,region,subregion,country_name,policy,name
0,Europe,Sweden,2020-02-09,0.0,1,Eldoril,North,Eldoril North,A,Eldoril North
1,Europe,Sweden,2020-02-16,0.0,1,Eldoril,North,Eldoril North,A,Eldoril North
2,Europe,Sweden,2020-02-23,0.0,1,Eldoril,North,Eldoril North,A,Eldoril North
3,Europe,Sweden,2020-03-01,0.0,1,Eldoril,North,Eldoril North,A,Eldoril North
4,Europe,Sweden,2020-03-08,0.0,1,Eldoril,North,Eldoril North,A,Eldoril North
5,Europe,Sweden,2020-03-15,0.041,1,Eldoril,North,Eldoril North,A,Eldoril North
6,Europe,Sweden,2020-03-22,0.515,1,Eldoril,North,Eldoril North,A,Eldoril North
7,Europe,Sweden,2020-03-29,2.722,1,Eldoril,North,Eldoril North,A,Eldoril North
8,Europe,Sweden,2020-04-05,8.193,1,Eldoril,North,Eldoril North,A,Eldoril North
9,Europe,Sweden,2020-04-12,17.022,1,Eldoril,North,Eldoril North,A,Eldoril North
10,Europe,Sweden,2020-04-19,26.054,1,Eldoril,North,Eldoril North,A,Eldoril North
11,Europe,Sweden,2020-04-26,33.624,1,Eldoril,North,Eldoril North,A,Eldoril North
12,Europe,Sweden,2020-05-03,40.923,1,Eldoril,North,Eldoril North,A,Eldoril North
13,Europe,Sweden,2020-05-10,47.369,1,Eldoril,North,Eldoril North,A,Eldoril North
14,Europe,Sweden,2020-05-17,50.592,1,Eldoril,North,Eldoril North,A,Eldoril North
15,Europe,Sweden,2020-05-24,50.105,1,Eldoril,North,Eldoril North,A,Eldoril North
16,Europe,Sweden,2020-05-31,44.932,1,Eldoril,North,Eldoril North,A,Eldoril North
17,Europe,Sweden,2020-06-07,39.407,1,Eldoril,North,Eldoril North,A,Eldoril North
18,Europe,Sweden,2020-06-14,35.087,1,Eldoril,North,Eldoril North,A,Eldoril North
19,Europe,Sweden,2020-06-21,30.523,1,Eldoril,North,Eldoril North,A,Eldoril North
20,Europe,Sweden,2020-06-28,25.459,1,Eldoril,North,Eldoril North,A,Eldoril North
21,Europe,Sweden,2020-07-05,21.545,1,Eldoril,North,Eldoril North,A,Eldoril North
22,Europe,Sweden,2020-07-12,17.713,1,Eldoril,North,Eldoril North,A,Eldoril North
23,Europe,Sweden,2020-07-19,14.842,1,Eldoril,North,Eldoril North,A,Eldoril North
24,Europe,Sweden,2020-07-26,11.808,1,Eldoril,North,Eldoril North,A,Eldoril North
25,Europe,Sweden,2020-08-02,8.789,1,Eldoril,North,Eldoril North,A,Eldoril North
26,Europe,Sweden,2020-08-09,6.243,1,Eldoril,North,Eldoril North,A,Eldoril North
27,Europe,Sweden,2020-08-16,4.658,1,Eldoril,North,Eldoril North,A,Eldoril North
28,Europe,Sweden,2020-08-23,3.358,1,Eldoril,North,Eldoril North,A,Eldoril North
29,Europe,Sweden,2020-08-30,2.343,1,Eldoril,North,Eldoril North,A,Eldoril North
30,Europe,Sweden,2020-09-06,1.72,1,Eldoril,North,Eldoril North,A,Eldoril North
31,Europe,Sweden,2020-09-13,1.435,1,Eldoril,North,Eldoril North,A,Eldoril North
32,Europe,Sweden,2020-09-20,1.341,1,Eldoril,North,Eldoril North,A,Eldoril North
33,Europe,Sweden,2020-09-27,1.3,1,Eldoril,North,Eldoril North,A,Eldoril North
34,Europe,Sweden,2020-10-04,1.232,1,Eldoril,North,Eldoril North,A,Eldoril North
35,Europe,Sweden,2020-10-11,1.327,1,Eldoril,North,Eldoril North,A,Eldoril North
36,Europe,Sweden,2020-10-18,1.422,1,Eldoril,North,Eldoril North,A,Eldoril North
37,Europe,Sweden,2020-10-25,1.747,1,Eldoril,North,Eldoril North,A,Eldoril North
38,Europe,Sweden,2020-11-01,2.478,1,Eldoril,North,Eldoril North,A,Eldoril North
39,Europe,Sweden,2020-11-08,4.469,1,Eldoril,North,Eldoril North,A,Eldoril North
40,Europe,Sweden,2020-11-15,7.231,1,Eldoril,North,Eldoril North,A,Eldoril North
41,Europe,Sweden,2020-11-22,11.253,1,Eldoril,North,Eldoril North,A,Eldoril North
42,Europe,Sweden,2020-11-29,16.711,1,Eldoril,North,Eldoril North,A,Eldoril North
43,Europe,Sweden,2020-12-06,22.506,1,Eldoril,North,Eldoril North,A,Eldoril North
44,Europe,Sweden,2020-12-13,28.925,1,Eldoril,North,Eldoril North,A,Eldoril North
45,Europe,Sweden,2020-12-20,36.427,1,Eldoril,North,Eldoril North,A,Eldoril North
46,Europe,Sweden,2020-12-27,42.941,1,Eldoril,North,Eldoril North,A,Eldoril North
47,Europe,Sweden,2021-01-03,49.184,1,Eldoril,North,Eldoril North,A,Eldoril North
48,Europe,Sweden,2021-01-10,53.558,1,Eldoril,North,Eldoril North,A,Eldoril North
49,Europe,Sweden,2021-01-17,56.307,1,Eldoril,North,Eldoril North,A,Eldoril North
50,Europe,Sweden,2021-01-24,57.363,1,Eldoril,North,Eldoril North,A,Eldoril North
51,Europe,Sweden,2021-01-31,55.887,1,Eldoril,North,Eldoril North,A,Eldoril North
52,Europe,Sweden,2021-02-07,51.242,1,Eldoril,North,Eldoril North,A,Eldoril North
53,Europe,Sweden,2021-02-14,45.392,1,Eldoril,North,Eldoril North,A,Eldoril North
54,Europe,Sweden,2021-02-21,38.621,1,Eldoril,North,Eldoril North,A,Eldoril North
55,Europe,Sweden,2021-02-28,31.945,1,Eldoril,North,Eldoril North,A,Eldoril North
56,Europe,Sweden,2021-03-07,25.283,1,Eldoril,North,Eldoril North,A,Eldoril North
57,Europe,Sweden,2021-03-14,20.042,1,Eldoril,North,Eldoril North,A,Eldoril North
58,Europe,Sweden,2021-03-21,16.386,1,Eldoril,North,Eldoril North,A,Eldoril North
59,Europe,Sweden,2021-03-28,14.327,1,Eldoril,North,Eldoril North,A,Eldoril North
60,Europe,Sweden,2021-04-04,13.501,1,Eldoril,North,Eldoril North,A,Eldoril North
61,Europe,Sweden,2021-04-11,12.838,1,Eldoril,North,Eldoril North,A,Eldoril North
62,Europe,Sweden,2021-04-18,12.838,1,Eldoril,North,Eldoril North,A,Eldoril North
63,Europe,Sweden,2021-04-25,12.702,1,Eldoril,North,Eldoril North,A,Eldoril North
64,Europe,Sweden,2021-05-02,12.526,1,Eldoril,North,Eldoril North,A,Eldoril North
65,Europe,Sweden,2021-05-09,12.147,1,Eldoril,North,Eldoril North,A,Eldoril North
66,Europe,Sweden,2021-05-16,11.971,1,Eldoril,North,Eldoril North,A,Eldoril North
67,Europe,Sweden,2021-05-23,10.982,1,Eldoril,North,Eldoril North,A,Eldoril North
68,Europe,Sweden,2021-05-30,9.899,1,Eldoril,North,Eldoril North,A,Eldoril North
69,Europe,Sweden,2021-06-06,8.572,1,Eldoril,North,Eldoril North,A,Eldoril North
70,Europe,Sweden,2021-06-13,7.191,1,Eldoril,North,Eldoril North,A,Eldoril North
71,Europe,Sweden,2021-06-20,5.715,1,Eldoril,North,Eldoril North,A,Eldoril North
72,Europe,Sweden,2021-06-27,4.482,1,Eldoril,North,Eldoril North,A,Eldoril North
73,Europe,Sweden,2021-07-04,3.047,1,Eldoril,North,Eldoril North,A,Eldoril North
74,Europe,Sweden,2021-07-11,2.099,1,Eldoril,North,Eldoril North,A,Eldoril North
75,Europe,Sweden,2021-07-18,1.463,1,Eldoril,North,Eldoril North,A,Eldoril North
76,Europe,Sweden,2021-07-25,0.907,1,Eldoril,North,Eldoril North,A,Eldoril North
77,Europe,Sweden,2021-08-01,0.623,1,Eldoril,North,Eldoril North,A,Eldoril North
78,Europe,Sweden,2021-08-08,0.501,1,Eldoril,North,Eldoril North,A,Eldoril North
