Date,Stock,Price,Price_start,Value,name,industry
2023-01-03,UAL,37.21,37.21,0.0,Airline A,Airline
2023-01-04,UAL,39.72,37.21,0.06745498521902708,Airline A,Airline
2023-01-05,UAL,41.24,37.21,0.10830421929588822,Airline A,Airline
2023-01-06,UAL,42.24,37.21,0.1351787153990863,Airline A,Airline
2023-01-09,UAL,43.35,37.21,0.16500940607363612,Airline A,Airline
2023-01-10,UAL,45.75,37.21,0.22950819672131145,Airline A,Airline
2023-01-11,UAL,47.71,37.21,0.28218220908357966,Airline A,Airline
2023-01-12,UAL,51.3,37.21,0.3786616500940606,Airline A,Airline
2023-01-13,UAL,51.65,37.21,0.38806772373018,Airline A,Airline
2023-01-17,UAL,51.2,37.21,0.375974200483741,Airline A,Airline
2023-01-18,UAL,48.86,37.21,0.3130878796022574,Airline A,Airline
2023-01-19,UAL,48.37,37.21,0.2999193765116903,Airline A,Airline
2023-01-20,UAL,49.46,37.21,0.3292125772641763,Airline A,Airline
2023-01-23,UAL,49.28,37.21,0.3243751679656006,Airline A,Airline
2023-01-24,UAL,49.3,37.21,0.3249126578876645,Airline A,Airline
2023-01-25,UAL,50.28,37.21,0.3512496640687987,Airline A,Airline
2023-01-26,UAL,49.45,37.21,0.32894383230314433,Airline A,Airline
2023-01-27,UAL,48.73,37.21,0.3095941951088416,Airline A,Airline
2023-01-30,UAL,48.21,37.21,0.29561945713517873,Airline A,Airline
2023-01-31,UAL,48.96,37.21,0.3157753292125773,Airline A,Airline
2023-02-01,UAL,50.22,37.21,0.34963719430260676,Airline A,Airline
2023-02-02,UAL,52.31,37.21,0.4058048911582908,Airline A,Airline
2023-02-03,UAL,51.12,37.21,0.373824240795485,Airline A,Airline
2023-02-06,UAL,50.92,37.21,0.3684493415748455,Airline A,Airline
2023-02-07,UAL,50.75,37.21,0.3638806772373018,Airline A,Airline
2023-02-08,UAL,50.77,37.21,0.3644181671593658,Airline A,Airline
2023-02-09,UAL,49.82,37.21,0.3388873958613276,Airline A,Airline
2023-02-10,UAL,48.86,37.21,0.3130878796022574,Airline A,Airline
2023-02-13,UAL,49.19,37.21,0.3219564633163127,Airline A,Airline
2023-02-14,UAL,50.06,37.21,0.3453372749260952,Airline A,Airline
2023-02-15,UAL,49.91,37.21,0.34130610051061533,Airline A,Airline
