id,text
S1,<h2>SCADS 2024 Problem Book  (S1).</h2>
S2,"<p>Violet B., Susanna Bitters, John M (S2). Conroy, R (S3). Jordan Crouser, Sue Mi Kim, J (S4). Bowman Light, Neil P (S5). Molino, Amanda Peterson, Elizabeth Richerson, Stephen Shauger, Ben Strickson, Aaron W., Julia S (S6). Yang (S7).</p>"
S3,<p>April 2024  (S8).</p>
S4,<h2>1 Introduction  (S9).</h2>
S5,"<p>The Summer Conference on Applied Data Science (SCADS) is an annual eight-week summer research program held at the Laboratory for Analytic Sciences (LAS) that is focused on the research and development of Artificial Intelligence (AI) to assist US Intelligence Community (IC) data analysts (S10). SCADS identifies a multi-year Grand Challenge to focus the research toward solving a current mission challenge (S11).  SCADS brings together approximately fifty personnel each year, including faculty, graduate students, industry professionals, researchers at National Laboratories and Federally Funded Research and Development Centers (FFRDCs), and government employees from the IC, to advance the research on the current Grand Challenge. (S12).</p>"
S6,<p>Grand Challenge: Generate tailored daily reports for knowledge workers that capture information relevant to their individual objectives and interests (S13).</p>
S7,"<p>The SCADS grand challenge is intended to be a multi-year unifying research goal of creating Tailored Daily Reports (TLDRs) for individual knowledge workers within the IC (S14). These reports would be similar in some sense to the well-known President’s Daily Brief or to established commercial news aggregators, but would include a mix of classified and unclassified material, combine information from a variety of modes and formats, and be tailored to the interests and responsibilities of the individual IC worker (S15).</p>"
S8,"<p>In 2024, we continue working toward creating TLDRs and directed research efforts will fall under the broad areas of Automatic Summarization, Recommendation Systems, and Human-Machine Interaction (S16). Each of these areas will also include a special emphasis on explainability and contextualization, as well as knowledge representation and dataset creation and curation (S17). Efforts will also include development projects that are aimed at bringing together the different areas into a demonstration application to model how the individual research projects come together to support a TLDR (S18).</p>"
S9,"<p>In this document we present relevant critical challenges and research questions that address various aspects of the grand challenge, briefly discuss the motivation for those challenges and questions, and provide references and other resources for further exploration (S19). We have organized this document by focus areas, and note that some challenges and questions presented might span multiple focus areas (S20). For each critical challenge and research question, we attempt to identify the scope (short, medium, or long-term) of the challenge or question, and also which other challenges and questions are related (S21).</p>"
S10,"<p>Throughout this document we attempt to identify research areas which may be served by use of Large Language Models (LLMs) which have been an area of great focus in the field recently (S22). Two ubiquitous LLMs are GPT-3.5 and GPT-4, versions of which are incorporated into ChatGPT (S23).</p>"
S12,<p>2 Automatic Summarization  (S24).</p>
S13,"<p>Key to the creation of a TLDR will be the automatic summarization of large corpora of documents (S25). This process will involve both extractive and abstractive summarization (S26). While summarization for SCADS is primarily concerned with text, research in multi-modal summarization techniques is also encouraged (S27). Researchers would have access to existing summarization engines and be able to improve and augment them (S28). Traditionally, automatic summarization has fallen into two categories: extractive and abstractive (S29).</p>"
S14,"<p>Extractive summarization is the process of extracting key sub-portions of a document, typically at the sentence level, and compiling those sub-portions into a readable and salient summary of the document (S30). The main extractive summarization package we will use at SCADS is occams [1] (S31). The occams package employs an optimization-based extractive algorithm (S32). This family of methods is known to perform best among extractive systems on a wide range of evaluation data (S33). For a survey of the summarization problem and classical extractive summarization methods, we recommend [2] (S34). Also, see [3] for an overview with a description of some successful neural-based abstractive summarizers (S35).</p>"
S15,"<p>Abstractive summarization is the process of generating novel prose providing a readable and salient summary of a document based on its content, rather than extracting sub-portions of the document as in extractive summarization (S36). Large Language Models (LLMs) employ abstractive summarization (S37). For SCADS, we will focus on models made available by Hugging Face, the OpenAI API, and other models as applicable (S38). Open-source systems available via Hugging Face are recent small to midsize neural systems using variations of the transformer language model, the first of which was BERT [4] (S39). Models of this size serve as practical examples of abstractive summarization capabilities in a computing environment similar to what might be expected for a TLDR prototype or operational system (S40). Other larger language models, such as GPT-3 and -4, are also eligible for inclusion during SCADS (S41). The focus on such large language models might shift to address how such models might be practically incorporated into a TLDR scenario, for example, through exploration of hybrid implementations with an extractive summarizer, careful prompt creation, or Retrieval Augmented Generation (RAG) [5] (S42).</p>"
S16,"<p>For all automatically created summaries, it will be important to provide context for where the information contained in the summary originated (S43). This might be in the form of references, citations, or other methods enabling users to move from the summary to the underlying source data (S44). See 4.4 for more discussion of providing context for content included in a TLDR (S45).</p>"
S18,"<p>Critical Challenge 2.A Develop summaries of documents personalized to a user’s interests, employing abstractive extractive, and/or hybrid methods (S46).</p>"
S19,"<p>As improvements are made in the language model space, the scope of summarization is increasing (S47). Topics in question answering, information retrieval, and entity extraction are becoming more mainstream for summarization engines within traditional summarization, there are various methods to investigate that focus on different aspects of the text (S48). A past Document Understanding Conference hosted by NIST investigated topic-based summarization (S49). Other potential areas could be guided and aspect summaries, all of which incorporate named entities. (S50).</p>"
S21,<p>2.1 Text Embedding  (S51).</p>
S22,"<p>One outgrowth of natural language processing developments is the ability to embed not only words in context but also sentences and documents (S52). Such methods have been used to develop topic models, for example, top2vec clusters documents employing such embeddings (S53). It is natural to consider methods of utilizing sentence embeddings to improve extractive summarization (S54).</p>"
S23,<p>Question 2.1a How can sentence embeddings best be used to improve extractive summarization? Scope: medium-term  (S55).</p>
S24,"<p>Countless analysis techniques can be applied to high-dimensional embeddings to offer insight into a sentence’s purpose within a document, and conceivably into its value to an extractive summary (S56). In essence, the embeddings provide a convenient way to extract some of the power of a pre-trained language model for a computational cost that, while significantly more than an extractive model like occams with NLTK segmentation, is far less than that of generating an abstractive summary with a distilled BERT model (S57).</p>"
S25,"<p>Sentences are typically used as a proxy for a single unit of information, but larger or smaller chunks can be embedded as well (S58). In situations where large amounts of text are being summarized, entire paragraphs or documents can be embedded as a single chunk, While there are costs to embedding larger pieces of text, an exploration of the optimal chunk size to embed for summarization could be beneficial (S59).</p>"
S27,<p>Question 2.1b How does adjusting the length of embedded text impact extractive summaries? Scope: medium-term  (S60).</p>
S29,"<p>While embedding models on their own can be a powerful tool in exploring connections within a document, they can also be used for information retrieval tasks (S61). A vector database is a collection of embedded data stored in multi-dimensional space (S62). This allows users to perform vector search on the data, finding the entries which are most similar to the input query (S63). This could prove beneficial when attempting to summarize certain topics or events from a large corpus of data (S64).</p>"
S30,<p>Question 2.1c What is the optimal chunk size for storing embedded documents in a vector store for later retrieval? Scope: medium-term  (S65).</p>
S32,<p>2.2 Retrieval Augmented Generation  (S66).</p>
S33,"<p>During the proceedings of SCADS 2023, LLMs showed a lot of promise for summarization tasks (S67). Multiple teams investigated abstractive summaries generated with GPT-3.5 Turbo and other models and compared the performance of these summaries on common benchmarks in the community (S68). However, a common issue noted by the community is hallucinations, or statements presented in the summary that are not present in the original text (S69). These models have been trained on vast quantities of data and tend to rely on their training data rather than solely on the summarization target (S70). Additionally, multi-document summarization can be difficult for models given context window constraints (S71). In recent months, Retrieval Augmented Generation (RAG) has become a popular model architecture to combat these concerns (S72).</p>"
S36,"<p>A standard RAG pipeline consists of an embedding model, a vector store, and an LLM (S73). Typically, this pipeline functions by providing an external data store for the LLM, which is used to create responses to user-inputted queries (S74). The way that the information is retrieved from the store can vary, but simple pipelines will just return a set number of entries with the highest vector similarity to the query in the embedding space (S75). These entries are then integrated as context within a prompt for the large language model (S76). Finally, the output from the model is returned to the user, potentially along with the sources provided as context (S77).</p>"
S38,<p>Critical Challenge 2.B How can Retrieval Augment Generation (RAG) be applied to achieve multi-document summarization and synthesis for a TLDR? Scope: long-term  (S78).</p>
S39,"<p>A common criticism of most mainstream LLM applications is the ‘black box’ nature of the responses and the high potential for hallucinations (S79). RAG addresses these concerns by having the ability to trace what context was provided to generate a response (S80). There is still the potential for answers to contain errors, but incorporating RAG into a LLM chat application has been shown to reduce the number of hallucinations generated [7] (S81). Users interacting with RAG applications can pose queries beyond summarizing a subset of documents (S82). Having a large vector store allows queries to reference a large body of text, answering questions on it and providing key summaries (S83). While RAG has a lot of potential in the space, it is still relatively novel, and research is still exploring what use cases are most suited to it (S84). Consulting with analysts and other TLDR customers to carry out some typical queries on a RAG pipeline will help identify pain points and areas for future research (S85). Analysts may also be able to provide feedback regarding the documents that are returned during the retrieval step and how that information should be incorporated into what the user sees returned from the model (S86).</p>"
S41,"<p>Question 2.2a What use cases are particularly suited or not suited for RAG, as compared to a standard instruction tuned LLM? Scope: short-term  (S87).</p>"
S43,"<p>All applications that provide open-ended queries to LLMs have the potential for prompt-tuning to ensure a desirable output from the model (S88). Different styles of prompting can yield different responses from the model, which may be more or less suited to what the user expects (S89). With a RAG pipeline, there is the added requirement of incorporating the context documents to the responses (S90). In order to save tokens and potentially get more information into the context limit, extractive summarization may prove useful when constructing the prompt for the LLM (S91).</p>"
S45,<p>Question 2.2b Can we characterize and/or measure the impact of different prompting styles in summarization systems employing large language models? Scope: medium-term  (S92).</p>
S46,"<p>Both RAG and hybrid summarization involve an intermediate step before passing documents to an abstractive summarizer, aiming to reduce hallucinations and unnecessary text (S93). While a classic extractive summarizer would pull important sentences from the source documents, a RAG pipeline typically retrieves larger chunks from the corpus (S94). Hybrid summarization methods can combine the extractive step with a retrieval step as well, before passing to an abstractive summarizer (S95). In practice, there are many ways to refine and tune both of these methods (S96). Numerous techniques and packages have been written to combine both of these approaches, including but not limited to extractive summarization (S97).</p>"
S47,<p>Question 2.2c Does a hybrid approach to RAG that incorporates extractive summarization improve the pipeline? Scope: short-term  (S98).</p>
S49,<p>2.3 Summarizing a Changing Corpus (S99).</p>
